GO term	COGs	GO term name	Number of COGs	IC	SuperCOGs	Number of SuperCOGs
GO:0000002	{'R'}	mitochondrial genome maintenance	1	10.8064	{'general function'}	1
GO:0000003	{'D'}	reproduction	1		{'supercog1'}	1
GO:0000015	{'O'}	phosphopyruvate hydratase complex	1	9.1158	{'supercog1'}	1
GO:0000017	{'G'}	alpha-glucoside transport	1		{'supercog2'}	1
GO:0000018	{'L'}	regulation of DNA recombination	1	9.51	{'supercog3'}	1
GO:0000026	{'G'}	alpha-1,2-mannosyltransferase activity	1	13.6393	{'supercog2'}	1
GO:0000027	{'J'}	ribosomal large subunit assembly	1	8.575	{'supercog3'}	1
GO:0000028	{'J'}	ribosomal small subunit assembly	1	9.8106	{'supercog3'}	1
GO:0000030	{'G'}	mannosyltransferase activity	1	11.5518	{'supercog2'}	1
GO:0000033	{'G'}	alpha-1,3-mannosyltransferase activity	1	16.2243	{'supercog2'}	1
GO:0000036	{'C'}	acyl carrier activity	1	9.7896	{'supercog2'}	1
GO:0000038	{'I'}	very long-chain fatty acid metabolic process	1	12.6393	{'supercog2'}	1
GO:0000041	{'P'}	transition metal ion transport	1	7.8722	{'supercog2'}	1
GO:0000045	{'O', 'C', 'U'}	autophagosome assembly	3	9.7324	{'supercog2', 'supercog1'}	2
GO:0000049	{'J'}	tRNA binding	1	5.531	{'supercog3'}	1
GO:0000052	{'E'}	citrulline metabolic process	1	12.2935	{'supercog2'}	1
GO:0000054	{'J', 'U'}	ribosomal subunit export from nucleus	2	10.9114	{'supercog3', 'supercog1'}	2
GO:0000055	{'J', 'U'}	ribosomal large subunit export from nucleus	2	12.0345	{'supercog3', 'supercog1'}	2
GO:0000062	{'I'}	fatty-acyl-CoA binding	1	11.0847	{'supercog2'}	1
GO:0000070	{'B', 'D', 'Y'}	mitotic sister chromatid segregation	3	8.7066	{'supercog3', 'supercog1'}	2
GO:0000075	{'T'}	cell cycle checkpoint signaling	1	8.7007	{'supercog1'}	1
